ID,RA,dec,roll
2934,88.5314755502087,-14.175464011578018,0
3622,-13.587649993777248,-29.093999852450175,0
5017,-168.38057441837617,-71.71393068498611,0
383,83.11975854082077,54.39815547210485,0
22,-107.24622863343158,82.12264983023712,0
1279,13.07115088682082,23.358027692148283,0
1270,-0.7666032059401632,33.447328023234014,0
2447,-14.667221082067309,3.550485957259446,0
1154,-89.00899576540458,32.22492199436461,0
218,160.28291319837965,69.03874719472788,0
672,78.67204187582487,42.74011102189581,0
5099,-19.731616232667076,-81.64473599303598,0
5042,-111.02885760871301,-77.41674463176818,0
5018,-166.7116159701799,-71.91454154371085,0
3397,141.25414601187293,-22.123539129295157,0
4242,-144.27097048438063,-44.996347199396595,0
3425,-177.87878742377754,-23.323955610945237,0
2234,112.91018802029467,3.4815304866154513,0
4930,-61.612824558531706,-69.29770807530873,0
2490,32.263924950352546,-2.0596194075659024,0
881,-16.47371174644898,41.33666121596316,0
4189,172.79444188275133,-40.31070579926806,0
3268,52.8944048204722,-21.799430655576735,0
346,35.568641807306214,50.05362220347627,0
2067,-37.81483288874278,11.916866675003494,0
5075,141.4722630230701,-80.57162213909704,0
2208,97.41645010860816,4.893372405373372,0
1668,-27.16252875830103,28.35993893040006,0
4391,-11.947604141838877,-41.37666971288156,0
4348,-72.24340843191784,-45.279938962632336,0
3824,177.5943133055373,-33.62975835816147,0
755,-148.5173543638299,44.09159470172567,0
820,-59.25433775995408,48.086580743489804,0
336,22.661096154096033,58.976297384795345,0
4143,134.06688378861838,-48.37879437562668,0
2317,-143.17779565916075,1.0507249551364066,0
1316,43.80486714047717,20.469475291941116,0
2034,-63.41400333119472,11.690141545892276,0
1143,-101.01378739773325,37.342794733730706,0
1557,-103.95416669529898,22.150438924818758,0
5015,-172.72078701227164,-72.72523327902853,0
193,119.36237976986409,60.4633612136026,0
3189,-40.13379992340126,-17.048611295547502,0
853,-39.93321198298832,49.173985883712696,0
4534,156.3851128307834,-57.38327246022998,0
4724,51.34001673186368,-69.51126376949887,0
416,128.89995440283317,52.888564088708634,0
420,138.15094184921355,54.2297752082296,0
1231,-47.03231204439052,33.24674466648343,0
1873,136.26005851231366,10.870591883061868,0
3972,-47.39442824640675,-39.99849192937655,0
2965,103.47647573868014,-16.9880112684299,0
402,109.6987125960472,55.37798033784058,0
3786,127.9452669144432,-38.676786012075226,0
3981,-37.69397030664891,-34.1660720645469,0
4176,156.49507088012032,-49.149077689484976,0
4537,158.41554634122312,-57.298269587659966,0
2508,46.02057514833938,-6.280758193603928,0
2108,25.687366981772023,8.906844357439615,0
3447,-146.97027492485608,-29.049272475131083,0
1771,70.4140378439032,11.054574933614122,0
4904,-109.59571197321654,-67.01903888125518,0
2251,129.0361298549597,3.5181888993057164,0
4625,-116.80127905210993,-53.68762764557414,0
3131,-84.89906235782348,-12.041047255688968,0
4065,90.80741230853727,-45.0777026226428,0
1624,-61.90120739485034,24.187133145085884,0
1780,74.03747565242769,14.468216797000112,0
3973,-45.44278674603781,-32.4545331118899,0
2143,60.123266644442246,5.852075181991612,0
1538,-124.83973253243101,26.452880421985846,0
2340,-114.56447473823103,7.062375185607699,0
2039,-61.12856578670729,16.653205672676386,0
2290,175.82225052914944,6.8096446480910835,0
3851,-149.06717898798232,-36.12490017454016,0
2604,94.32585445518842,-7.800497232509704,0
3900,-108.26997415191089,-34.20432215399204,0
170,58.21406298204306,60.96472506744286,0
739,-176.59389977439133,40.93835585369089,0
2531,65.29712538180175,-3.8596585671743995,0
