ID,RA,dec,roll,dist
2934,88.52101885554495,-14.18442770482965,179.9239587457833,0.029327920191608396
3622,-13.602143278696294,-29.105853847884575,179.8958457147858,0.026897381631315376
5017,-168.44633326774263,-71.72626798643908,179.78270923404145,0.009920389101383119
383,83.09842328692007,54.38880857153959,179.89319074805866,0.0507349010333855
22,-107.303273023273,82.10791329980077,-179.90072574048295,0.03998402159316551
1279,13.06194474148409,23.348409400043284,-179.71323392864275,0.009578304888151364
1270,1.4921111006694079,33.007231627731564,110.89750689121763,0.05873874127460194
2447,-14.68077375476891,3.536900348800103,179.85674313553005,0.01953656023155134
1154,-89.01971427368505,32.2132393667104,179.94633889122161,0.026669579038642425
218,160.20812492979022,69.07834381358377,-175.99932825860316,0.004031819013722585
672,78.65541757315803,42.728790628839214,-179.95113316441015,0.020641424703063585
5099,-19.79057193215575,-81.65104407760955,179.73741994089073,0.02198346961128974
5042,-111.07066409898432,-77.42385395314106,179.6812681987955,0.025744360746174574
5018,-166.76347013940645,-71.93090451469516,179.39613933813706,0.009791591984371984
3397,141.2444156442869,-22.138243590172188,-179.89399791979648,0.026341432973035452
4242,-144.27751552928328,-44.998812237230005,179.22436037934554,0.0004435782939080871
3425,-177.88977941404784,-23.339020546619082,-179.6225711184955,0.017703342316493245
992,81.63521981910752,34.353512304431014,117.70080947315834,0.004147562301645405
4930,-61.63279109291876,-69.31604295509564,-178.8142553861135,0.03414036267739926
2490,32.25388037408338,-2.0684395839842264,179.78369354995561,0.011209413973225191
881,-16.48771906693099,41.32338734306834,179.62566525395715,0.02049989240486072
4189,172.7697938023446,-40.31354168254914,-179.6097320239235,0.000801134276537074
3268,52.88019792639773,-21.8150526763653,-179.98942911080337,0.057852721615675944
369,64.02022034002839,49.955411458648,80.38968698320814,0.0035140934285666312
2067,-37.822997241552216,11.906436698546932,-179.99521581894527,0.05367765678648259
5075,141.4174796917141,-80.58286096652809,179.75794129832096,0.007112615424997349
2208,97.40563840729371,4.882876449051184,179.77074749869595,0.037499651441867274
1668,-27.170171530616617,28.34990609282534,-179.85526218490486,0.02984741522809564
