No,RA,dec,roll
4,27.0020299741392,-62.5680239504158,-55.9682673685912
8,87.3421665686068,-71.3601100791779,-45.2103463435951
9,-41.6987337052087,-86.4109563860876,60.4380799761567
27,46.3809687935502,-1.66804026728142,-24.9401558995515
42,130.809788453034,11.2743319959788,-95.3014885965997
52,100.722515221855,-7.48620513075386,-96.2783300617269
