RA,dec,roll
170.301553460905,-73.9277708935242,-105.626211104119
159.023053732057,-65.6905167060398,-76.8181334174515
149.056658553655,-67.6293633488588,-73.7522314220865
141.647664654416,-68.2435237325239,-70.8180754791433
130.851001213034,-69.565410328889,-66.5241825125087
159.734948499197,-60.3486094921401,-75.7085463795401
152.730490207324,-61.8746311504188,-74.981855617498
-69.2386793717539,-64.756276593289,-55.7132603956267
29.2880021413611,-66.7687804896036,-166.445396249487
-31.3361822673726,-81.2941841008282,43.0837097067607
-38.7567787600412,-66.5336482189914,-127.275435023383
-3.71823154388076,-12.1811215622045,119.948963273938
-8.07190340791951,-11.4045982171466,112.886646258388
31.2480155073941,-58.318570267005,-42.2452524033042
31.758354885372,-76.6010670842886,-100.936580469031
-53.7898333580541,-42.5104640464316,-12.5588127594314
107.010454968976,-72.1040726422915,-21.9751326223746
123.489988126712,-66.5782115868988,56.679947743891
127.021504792195,-43.9323286759896,26.5460779753791
126.122579226224,-40.7260629455848,22.1523937333571
124.614639466013,-60.2898181257476,34.813473705109
124.435474927284,-55.9418519596181,28.8185897078776
123.55375346073,-51.8880956113545,23.7034673569424
122.190548592109,-48.0722697334341,19.1784885907963
-163.680296804311,-57.5380294339105,-3.67367353691782
-159.030689581907,-54.2930907858383,-5.56329854002874
160.735373465518,-46.7624048285725,-12.9214378025236
156.144090085938,-43.9116792815545,-15.461711846979
84.1463295369326,26.5426814612294,8.29892567691182
107.577301289925,-26.3206435228881,-6.11854877250876
24.8140223341295,41.6123165312179,-27.8722101838156
-133.221407843312,-34.2610649720367,-29.2918743266061
179.199574843516,-47.8615049070358,-55.2356314801687
99.3918669051804,-16.594262367073,-63.008362910915
-109.412151502075,-19.4634921526785,-56.8403149337321
79.1712705152437,-13.5266967320916,-57.7669479332829
111.415170456225,-33.4574016951657,-56.0420755572042
-146.582203119772,24.3644037514919,-89.3518257121241
-135.193541140592,-44.3518074112785,-56.0942885560883
-141.013528714362,-44.5813609145568,-56.9156675826086
-156.258780397335,15.0264465228859,-108.461597337344
-118.242524238566,-36.7019852438202,-102.804106840347
-108.487913928622,-31.1147162625916,-91.5774290524208
-81.7250558670698,-24.2570357678592,-79.1090325326425
18.9838443589322,13.1342901632364,-104.421474666067
-78.0861374979011,31.2813999609738,-135.500656648507
44.5211219020103,19.8217874962151,-146.190838276623
-168.75484774439,-16.7570219555949,-127.723696925466
74.9333081133928,-13.8770563327578,-175.451309243877
170.301553460905,-73.9277708935242,-105.626211104119
-145.08829558615,-44.2595279549641,-49.3788091983086
-158.816790854592,-44.3337115944673,-110.553596060779
-81.0183764982743,-24.6233801601304,-79.6978617092699
18.903822462222,12.868443789404,-104.778808377947
143.957216602331,-38.2487298893505,-90.0918107957581
-84.1358297360571,-39.2535861145324,-71.5752875737331
44.3469416027171,18.0617223689346,-148.483065629432
77.3634583902622,-3.62465964182371,-153.111839550487
74.3096937435296,-14.559598829774,-176.797055349993
170.294984036058,-74.0431122777568,-105.705292666171
